,Population Estimate,Populatoin MoE,zip_code,city
0,37460,1942,98001,AUBURN
1,37509,1768,98002,AUBURN
2,51619,2288,98003,FEDERAL WAY
3,39897,1690,98004,BELLEVUE
4,21846,1545,98005,BELLEVUE
5,40009,1881,98006,BELLEVUE
6,27692,1809,98007,BELLEVUE
7,27242,1606,98008,BELLEVUE
8,6857,329,98010,BLACK DIAMOND
9,28963,418,98011,BOTHELL
10,77041,2466,98012,BOTHELL
11,8264,975,98014,CARNATION
12,12242,697,98019,DUVALL
13,19551,915,98020,EDMONDS
14,35631,1542,98021,BOTHELL
15,22418,969,98022,ENUMCLAW
16,50448,2207,98023,FEDERAL WAY
17,3908,529,98024,FALL CITY
18,52,77,98025,HOBART
19,38976,1291,98026,EDMONDS
20,28955,1384,98027,ISSAQUAH
21,23741,70,98028,KENMORE
22,30586,1475,98029,ISSAQUAH
23,38523,1961,98030,KENT
24,40094,1860,98031,KENT
25,40862,2098,98032,KENT
26,40982,1378,98033,KIRKLAND
27,52531,1400,98034,KIRKLAND
28,42370,1731,98036,LYNNWOOD
29,29723,1488,98037,LYNNWOOD
30,37324,865,98038,MAPLE VALLEY
31,2928,24,98039,MEDINA
32,25307,32,98040,MERCER ISLAND
33,50216,1853,98042,KENT
34,23101,88,98043,MOUNTLAKE TERRACE
35,15289,679,98045,NORTH BEND
36,6817,190,98047,PACIFIC
37,108,110,98050,PRESTON
38,3442,536,98051,RAVENSDALE
39,80717,518,98052,REDMOND
40,22765,1510,98053,REDMOND
41,24660,1525,98055,RENTON
42,35849,1635,98056,RENTON
43,12705,1089,98057,RENTON
44,42980,2138,98058,RENTON
45,42406,2184,98059,RENTON
46,15944,361,98065,SNOQUALMIE
47,482,173,98068,SNOQUALMIE PASS
48,9934,1020,98070,VASHON
49,24446,1029,98072,WOODINVILLE
50,30761,1466,98074,SAMMAMISH
51,25498,1550,98075,SAMMAMISH
52,14109,1315,98077,WOODINVILLE
53,41796,2744,98087,LYNNWOOD
54,50224,1949,98092,AUBURN
55,17153,1436,98101,SEATTLE
56,27333,1484,98102,SEATTLE
57,52671,1610,98103,SEATTLE
58,16542,1102,98104,SEATTLE
59,49767,1967,98105,SEATTLE
60,28690,2112,98106,SEATTLE
61,28776,1747,98107,SEATTLE
62,25529,1526,98108,SEATTLE
63,34328,1416,98109,SEATTLE
64,24631,33,98110,BAINBRIDGE ISLAND
65,23921,1581,98112,SEATTLE
66,54349,1832,98115,SEATTLE
67,28711,2136,98116,SEATTLE
68,35711,1949,98117,SEATTLE
69,50500,2674,98118,SEATTLE
70,26879,1399,98119,SEATTLE
71,21166,1440,98121,SEATTLE
72,43234,1510,98122,SEATTLE
73,44520,1876,98125,SEATTLE
74,22975,1306,98126,SEATTLE
75,53249,2050,98133,SEATTLE
76,645,83,98134,SEATTLE
77,17252,1572,98136,SEATTLE
78,33787,2026,98144,SEATTLE
79,28573,1611,98146,SEATTLE
80,9715,1063,98148,SEATTLE
81,0,13,98154,SEATTLE
82,36511,991,98155,SEATTLE
83,0,13,98158,SEATTLE
84,292,182,98164,SEATTLE
85,22082,1234,98166,SEATTLE
86,35528,1671,98168,SEATTLE
87,0,13,98174,SEATTLE
88,21090,1088,98177,SEATTLE
89,26748,2027,98178,SEATTLE
90,27311,1472,98188,SEATTLE
91,2757,366,98195,SEATTLE
92,40463,1211,98198,SEATTLE
93,22468,1309,98199,SEATTLE
94,31895,1807,98201,EVERETT
95,35517,2070,98203,EVERETT
96,45130,2341,98204,EVERETT
97,843,48,98207,EVERETT
98,60915,2666,98208,EVERETT
99,46497,1851,98223,ARLINGTON
100,190,92,98224,BARING
101,2339,528,98241,DARRINGTON
102,4907,631,98251,GOLD BAR
103,10361,936,98252,GRANITE FALLS
104,368,162,98256,INDEX
105,52752,1120,98258,LAKE STEVENS
106,55049,1175,98270,MARYSVILLE
107,30838,1260,98271,MARYSVILLE
108,31436,1470,98272,MONROE
109,21323,55,98275,MUKILTEO
110,17303,1083,98282,CAMANO ISLAND
111,169,61,98288,SKYKOMISH
112,39826,1530,98290,SNOHOMISH
113,27389,1518,98292,STANWOOD
114,7963,630,98294,SULTAN
115,27896,1690,98296,SNOHOMISH
116,1448,589,98303,ANDERSON ISLAND
117,770,346,98304,ASHFORD
118,18150,1321,98321,BUCKLEY
119,767,261,98323,CARBONADO
120,9931,52,98327,DUPONT
121,9891,920,98328,EATONVILLE
122,11552,973,98329,GIG HARBOR
123,61,50,98330,ELBE
124,20072,1193,98332,GIG HARBOR
125,3414,310,98333,FOX ISLAND
126,27773,1541,98335,GIG HARBOR
127,32687,2265,98338,GRAHAM
128,4931,1216,98349,LAKEBAY
129,1891,553,98351,LONGBRANCH
130,8597,691,98354,MILTON
131,4581,574,98359,OLALLA
132,15045,933,98360,ORTING
133,24682,1300,98371,PUYALLUP
134,26012,1609,98372,PUYALLUP
135,28883,1918,98373,PUYALLUP
136,49007,2208,98374,PUYALLUP
137,31187,1811,98375,PUYALLUP
138,457,182,98385,SOUTH PRAIRIE
139,50774,2080,98387,SPANAWAY
140,7043,36,98388,STEILACOOM
141,11546,302,98390,SUMNER
142,59240,1993,98391,BONNEY LAKE
143,892,357,98394,VAUGHN
144,844,278,98396,WILKESON
145,8080,846,98402,TACOMA
146,9097,842,98403,TACOMA
147,35961,2030,98404,TACOMA
148,25939,1504,98405,TACOMA
149,24202,1420,98406,TACOMA
150,21718,1129,98407,TACOMA
151,21009,1437,98408,TACOMA
152,27843,1497,98409,TACOMA
153,934,122,98416,TACOMA
154,10264,1180,98418,TACOMA
155,424,77,98421,TACOMA
156,21644,1000,98422,TACOMA
157,11816,232,98424,FIFE
158,582,172,98430,CAMP MURRAY
159,22493,1245,98433,TACOMA
160,613,38,98438,MCCHORD AFB
161,5671,818,98439,LAKEWOOD
162,5558,453,98443,TACOMA
163,35754,2035,98444,TACOMA
164,33684,2022,98445,TACOMA
165,14634,1712,98446,TACOMA
166,921,24,98447,TACOMA
167,7178,719,98465,TACOMA
168,30327,1053,98466,TACOMA
169,15387,873,98467,UNIVERSITY PLACE
170,29209,1764,98498,LAKEWOOD
171,32464,1708,98499,LAKEWOOD
172,11940,1049,98528,BELFAIR
173,61,4,98558,MCKENNA
174,11410,1398,98580,ROY
175,4833,692,98937,NACHES
